candidate_id	name	type	source_repository	source_commit	source_path	license	license_compatibility	last_meaningful_change	maintainer_status	upstream_base	app_id	category	dependencies	hardware_requirements	firmware_API	ram_estimate	storage_estimate	assets	duplicate_candidates	security_classification	automation_classification	known_issues	integration_complexity	maintenance_burden	recommended_disposition	decision_rationale
custom_flipper/network_subnet	Network Subnet Calculator	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/network_subnet	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	network_subnet	Tools		optional ESP32/WiFi devboard for extended function		not yet measured on real hardware	not yet measured on real hardware			local-UI, optional networked accessory	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/programmer_calc	Programmer Calculator	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/programmer_calc	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	programmercalc	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/vin_decoder	VIN Decoder	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/vin_decoder	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	vin_decoder	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/flipper95	Flipper95	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/flipper95	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	flipper95	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/chess	Chess	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/chess	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	chess	Games		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/flipfetch	FlipFetch	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/flipfetch	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	flipfetch	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/quadratic_solver	Quadratic Solver	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/quadratic_solver	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	quadratic_solver	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/sudoku	Sudoku	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/sudoku	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	sudoku	Games		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/sd_info	SD Card Info	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/sd_info	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	sd_info	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
custom_flipper/docviewlite	DocViewLite	app	https://github.com/XXBlackMartinXX/Custom-Flipper	78aa28d4583fdfb47612c52aefd44e4773ad41f1	applications_user/docviewlite	GPL-3.0 (firmware) / per-app LICENSE present except boilerplate, flipper95, network_subnet (see LICENSE_COMPATIBILITY_MATRIX.md)	ALREADY_ACCEPTED_IN_BASELINE		maintained (this project)	Unleashed-derived integration branch	docviewlite	Tools		none beyond stock Flipper Zero		not yet measured on real hardware	not yet measured on real hardware			non-radio, local-UI	see tests/hardware/apps/*.yaml		already integrated	ongoing (this project)	ALREADY_INCLUDED	Already part of the accepted 20-app integration baseline; not a census candidate.
